Rk,2018-19 Salary,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,WS,OBPM,DBPM,BPM,VORP,All-NBA
158,2393887,Amir Johnson,C,30,PHI,74,18,15.8,1.9,3.5,0.538,0.1,0.4,0.313,1.8,3.1,0.57,0.558,0.7,1.1,0.612,1.7,2.8,4.5,1.6,0.6,0.6,0.7,2.6,4.6,4.1,-0.2,3.1,2.9,1.5,0
159,459414,Dakari Johnson,C,22,OKC,31,6,5.2,0.7,1.3,0.564,0,0,0,0.7,1.3,0.564,0.564,0.4,0.6,0.55,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.8,0.6,-0.9,1.2,0.3,0.1,0
160,14651700,James Johnson,PF,30,MIA,73,41,26.6,4.2,8.4,0.503,0.8,2.5,0.308,3.5,5.9,0.587,0.55,1.5,2.2,0.698,0.8,4.1,4.9,3.8,1,0.7,1.9,2.6,10.8,4.9,-0.1,1.7,1.7,1.8,0
161,19245370,Tyler Johnson,PG,25,MIA,72,39,28.5,4.3,9.9,0.435,1.7,4.5,0.367,2.6,5.4,0.491,0.518,1.5,1.8,0.822,0.5,3,3.4,2.3,0.8,0.5,1.1,2.1,11.7,4.2,-0.1,-0.1,-0.2,0.9,0
162,6134520,Wesley Johnson,SF,30,LAC,74,40,20.1,2,5,0.408,0.8,2.4,0.339,1.2,2.6,0.471,0.489,0.6,0.8,0.741,0.4,2.5,2.9,0.8,1,0.8,0.7,2,5.4,1.7,-2,2.3,0.3,0.9,0
163,24605181,Nikola Jokic,C,22,DEN,75,73,32.6,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,10.7,4.8,2.3,7.1,5.6,0
164,1512601,Derrick Jones,SF,20,TOT,20,8,12.3,1.1,2.7,0.396,0.2,0.9,0.167,0.9,1.8,0.514,0.425,0.8,1.2,0.667,1.1,0.9,1.9,0.5,0.2,0.7,0.4,1.2,3.1,0.4,-2.7,0.7,-2,0,0
165,22900000,DeAndre Jordan,C,29,LAC,77,77,31.5,4.8,7.5,0.645,0,0,0,4.8,7.5,0.645,0.645,2.4,4.1,0.58,4.3,10.9,15.2,1.5,0.5,0.9,1.8,2.6,12,9.4,0.5,1.6,2.1,2.5,3
166,7945000,Cory Joseph,PG,26,IND,82,17,27,3.1,7.4,0.424,0.8,2.3,0.353,2.3,5,0.457,0.479,0.9,1.1,0.745,0.5,2.7,3.2,3.2,1,0.2,1.1,1.7,7.9,3.1,-1.3,0.1,-1.2,0.5,0
167,18622514,Enes Kanter,C,25,NYK,71,71,25.8,5.9,10,0.592,0,0,0,5.9,10,0.594,0.592,2.2,2.6,0.848,3.8,7.1,11,1.5,0.5,0.5,1.7,2.6,14.1,7.6,2.4,0.1,2.5,2.1,0
168,13000000,Michael Kidd-Gilchrist,SF,24,CHO,74,74,25,3.8,7.6,0.504,0,0,0,3.8,7.5,0.505,0.504,1.6,2.3,0.684,1.1,2.9,4.1,1,0.7,0.4,0.7,1.9,9.2,3.2,-2,0.3,-1.8,0.1,0
169,1378242,Maxi Kleber,PF,26,DAL,72,36,16.8,2.1,4.3,0.489,0.6,1.8,0.313,1.5,2.5,0.613,0.553,0.6,0.8,0.746,1,2.3,3.3,0.7,0.4,0.7,0.4,1.6,5.4,2.8,-1,1.2,0.2,0.7,0
170,1619000,Luke Kornet,PF,22,NYK,20,1,16.3,2.5,6.3,0.392,1.4,4,0.354,1.1,2.3,0.457,0.504,0.4,0.6,0.727,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,6.7,0.5,0.1,0.1,0.2,0.2,0
171,7560000,Kyle Korver,SG,36,CLE,73,4,21.6,3,6.6,0.459,2.2,5.2,0.436,0.8,1.5,0.537,0.628,0.9,1,0.889,0.1,2.1,2.3,1.2,0.4,0.4,0.8,1.8,9.2,3.4,2.2,-2,0.1,0.9,0
